wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Sandra_Bullock,Jean Cabot,Q40791,Q188000
/wiki/Don_Cheadle,Detective Graham Waters,Q272019,Q188000
/wiki/Matt_Dillon,Sergeant John Ryan,Q193070,Q188000
/wiki/Jennifer_Esposito,Ria,Q233922,Q188000
/wiki/Brendan_Fraser,District Attorney Rick Cabot,Q193555,Q188000
/wiki/Terrence_Howard,Cameron Thayer,Q296500,Q188000
/wiki/Ludacris,Anthony,Q193676,Q188000
/wiki/Michael_Pe%C3%B1a,Daniel Ruiz,Q359488,Q188000
/wiki/Ryan_Phillippe,Officer Tom Hansen,Q273136,Q188000
/wiki/Larenz_Tate,Peter Waters,Q1805906,Q188000
/wiki/Shaun_Toub,Farhad,Q144643,Q188000
/wiki/Bahar_Soomekh,Dorri,Q269830,Q188000
/wiki/Ashlyn_Sanchez,Lara Ruiz,Q2866566,Q188000
/wiki/Karina_Arroyave,Elizabeth Ruiz,Q452867,Q188000
/wiki/Loretta_Devine,Shaniqua Johnson,Q257271,Q188000
/wiki/Beverly_Todd,Mrs. Waters,Q453065,Q188000
/wiki/William_Fichtner,Jake Flanagan,Q220335,Q188000
/wiki/Keith_David,Lieutenant Dixon,Q370918,Q188000
/wiki/Jack_McGee_(actor),Gun Store Owner,Q1677114,Q188000
/wiki/Daniel_Dae_Kim,Park,Q299700,Q188000
/wiki/Nona_Gaye,Karen,Q508359,Q188000
/wiki/Bruce_Kirby_(actor),'Pop' Ryan,Q966576,Q188000
/wiki/Tony_Danza,Fred,Q721963,Q188000
/wiki/Kathleen_York,Officer Johnson,Q272770,Q188000
/wiki/Sylva_Kelegian,Nurse Hodges,Q7660609,Q188000
/wiki/Marina_Sirtis,Shereen,Q232945,Q188000
