wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Don_Johnson,LASD Detective Jerry Beck,Q309788,Q212660
/wiki/Penelope_Ann_Miller,Linda Kimble,Q235002,Q212660
/wiki/William_Forsythe_(actor),FBI Special Agent Arthur Kressler,Q350255,Q212660
/wiki/Bob_Balaban,Elliott Webley,Q621490,Q212660
/wiki/Tate_Donovan,John Burns,Q302650,Q212660
/wiki/Antoni_Stutz,Ray,Q27918317,Q212660
/wiki/Mickey_Jones,Sleepy,Q346965,Q212660
/wiki/William_Traylor,Chief Elton Tremmel,Q3569002,Q212660
/wiki/Hy_Anzell,Captain Waxman,Q5952187,Q212660
/wiki/Michael_Jeter,Dr. Alexander Krantz,Q329716,Q212660
/wiki/Tim_Reid,Chief Dixon,Q429963,Q212660
/wiki/Brad_Sullivan,Chief Hillard,Q1898632,Q212660
