wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Maddalena_Fellini,Caterina,Q3842281,Q956293
/wiki/Chiara_Caselli,the spouse,Q2963235,Q956293
/wiki/Andrea_Prodan,Marco,Q494855,Q956293
/wiki/Ivano_Marescotti,Don Vincenzo,Q3804842,Q956293
/wiki/Philippe_Noiret,Amleto,Q106482,Q956293
/wiki/Nicola_Di_Pinto,pastore,Q3876199,Q956293
/wiki/Bruno_Ganz,Vittorio,Q123206,Q956293
/wiki/Ornella_Muti,Anna,Q166562,Q956293
/wiki/Nicoletta_Braschi,Nicoletta,Q254462,Q956293
/wiki/Jean-Hugues_Anglade,Biker birds,Q690283,Q956293
