wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/G%C3%A9rard_Depardieu,Charles Saganne,Q106508,http://www.wikidata.org/entity/Q225875
/wiki/Philippe_Noiret,Dubreuilh,Q106482,http://www.wikidata.org/entity/Q225875
/wiki/Catherine_Deneuve,Louise,Q106418,http://www.wikidata.org/entity/Q225875
/wiki/Sophie_Marceau,Madeleine of Saint-Ilette,Q162753,http://www.wikidata.org/entity/Q225875
/wiki/Michel_Duchaussoy,Baculard,Q470804,http://www.wikidata.org/entity/Q225875
/wiki/Roger_Dumas,Vulpi,Q2161692,http://www.wikidata.org/entity/Q225875
/wiki/Jean-Louis_Richard,Flammarin,Q2729701,http://www.wikidata.org/entity/Q225875
/wiki/Jean-Laurent_Cochet,Bertozza,Q999960,http://www.wikidata.org/entity/Q225875
/wiki/Pierre_Tornade,Charles' Father,Q3387127,http://www.wikidata.org/entity/Q225875
/wiki/Ren%C3%A9_Clermont,Monsieur de Saint-Ilette,Q3426016,http://www.wikidata.org/entity/Q225875
/wiki/Hippolyte_Girardot,Courette,Q1620037,http://www.wikidata.org/entity/Q225875
/wiki/Florent_Pagny,Lucien,Q1429449,http://www.wikidata.org/entity/Q225875
