wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Shah_Rukh_Khan,Amarkant Varma (Amar),Q9535,Q944356
/wiki/Manisha_Koirala,Meghna/Moina,Q186606,Q944356
/wiki/Preity_Zinta,Preeti Nair,Q188671,Q944356
"/wiki/Mita_Vasisht"" class=""mw-redirect",Mita,,Q944356
/wiki/Arundathi_Nag,Kanval Dev Burman – AIR station director,Q4802220,Q944356
"/wiki/Raghuvir_Yadav"" class=""mw-redirect",Shukla ji – AIR manager,,Q944356
/wiki/Zohra_Sehgal,Amar's Grandmother,Q143896,Q944356
/wiki/Janagaraj,Taxi Driver,Q6150645,Q944356
/wiki/Gautam_Bora,terrorist Leader,Q26704522,Q944356
/wiki/Sabyasachi_Chakrabarty,a terrorist,Q16379,Q944356
/wiki/Aditya_Srivastava,Terrorist,Q3595451,Q944356
/wiki/Sanjay_Mishra_(actor),a terrorist,Q7418358,Q944356
/wiki/Anupam_Shyam,a terrorist,Q4777831,Q944356
/wiki/Shabbir_Masani,a terrorist,Q7460075,Q944356
/wiki/Manjit_Bawa,a terrorist,Q2420360,Q944356
"/wiki/Vineeta_Malik"" class=""mw-redirect",Amar's mother,,Q944356
/wiki/Piyush_Mishra,Arun Kashyap (CBI investigation officer),Q3534654,Q944356
"/wiki/Gajraj_Rao_(actor)"" class=""mw-redirect",CBI investigation officer,,Q944356
/wiki/Tigmanshu_Dhulia,a cameo appearance as man at the post office,Q7801672,Q944356
"/wiki/Sameer_Chanda"" class=""mw-redirect",cameo appearance Tuba music shop dealer,,Q944356
/wiki/Shaad_Ali,a cameo as a citizen of Silchar,Q3481124,Q944356
/wiki/Wasiq_Khan,a cameo,Q16215346,Q944356
/wiki/Karan_Nath,a cameo,Q6368392,Q944356
/wiki/Hemant_Mishra,cameo,Q16193752,Q944356
/wiki/B._M._Shah,a cameo,Q4834107,Q944356
/wiki/Sheeba_Chaddha,Moina's sister,Q16200046,Q944356
/wiki/Suhail_Nayyar,a child artist,Q25350244,Q944356
