wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Martin_Freeman,Young Bilbo Baggins,Q309486,Q80379
/wiki/Ian_McKellen,Gandalf the Grey,Q170510,Q80379
/wiki/Richard_Armitage_(actor),Thorin Oakenshield II,Q181806,Q80379
/wiki/Ken_Stott,Balin,Q722927,Q80379
/wiki/Graham_McTavish,Dwalin,Q609464,Q80379
/wiki/Aidan_Turner,Kíli,Q403905,Q80379
/wiki/Dean_O%27Gorman,Fíli,Q328618,Q80379
/wiki/Mark_Hadlow,Dori,Q1900087,Q80379
/wiki/Jed_Brophy,Nori,Q925680,Q80379
/wiki/Adam_Brown_(actor),Ori,Q348900,Q80379
/wiki/John_Callen,,Q1108011,Q80379
/wiki/Peter_Hambleton,Glóin,Q2075434,Q80379
/wiki/William_Kircher,Bifur,Q691354,Q80379
/wiki/James_Nesbitt,Bofur,Q439174,Q80379
/wiki/Stephen_Hunter_(actor),Bombur,Q1033115,Q80379
/wiki/Cate_Blanchett,Galadriel,Q80966,Q80379
/wiki/Hugo_Weaving,Elrond,Q42204,Q80379
/wiki/Christopher_Lee,Saruman the White,Q180338,Q80379
/wiki/Elijah_Wood,Frodo Baggins,Q483771,Q80379
/wiki/Sylvester_McCoy,Radagast the Brown,Q455551,Q80379
/wiki/Andy_Serkis,Gollum,Q206922,Q80379
/wiki/Manu_Bennett,Azog the Defiler,Q429595,Q80379
/wiki/Barry_Humphries,the Great Goblin,Q734221,Q80379
/wiki/Conan_Stevens,Bolg,Q1530432,Q80379
/wiki/John_Rawls_(actor),Yazneg,Q1282521,Q80379
/wiki/Bret_McKenzie,Lindir,Q910486,Q80379
/wiki/Kiran_Shah,the Goblin scribe,Q709329,Q80379
/wiki/Jeffrey_Thomas_(actor),Thrór,Q2120207,Q80379
/wiki/Benedict_Cumberbatch,the voice of the dragon Smaug,Q244674,Q80379
