wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Matthew_Broderick,David Lightman,Q28755,Q504697
/wiki/Dabney_Coleman,Dr. John McKittrick,Q446717,Q504697
/wiki/John_Wood_(English_actor),Dr. Stephen Falken a.k.a. Robert Hume and the voice of Joshua/the WOPR,Q599439,Q504697
/wiki/Ally_Sheedy,Jennifer Mack,Q253513,Q504697
/wiki/Barry_Corbin,General Jack Beringer,Q607678,Q504697
/wiki/Juanin_Clay,Patricia Healy,Q6301509,Q504697
/wiki/Dennis_Lipscomb,Watson,Q1189312,Q504697
/wiki/Joseph_Dorsey_Jr.,Col. Joe Conley,Q27948800,Q504697
/wiki/Michael_Ensign,Beringer's assistant,Q1254992,Q504697
/wiki/William_Bogert,Mr. Lightman,Q8005674,Q504697
/wiki/John_Spencer_(actor),Capt. Jerry Lawson,Q352748,Q504697
/wiki/Michael_Madsen,Lt. Steve Phelps,Q220584,Q504697
/wiki/Alan_Blumenfeld,Mr. Liggett,Q2069625,Q504697
/wiki/Maury_Chaykin,Jim Sting,Q951634,Q504697
/wiki/Eddie_Deezen,Malvin,Q747824,Q504697
/wiki/Art_LaFleur,Guard (Sgt. Ginzberg),Q547310,Q504697
/wiki/Stack_Pierce,Airman,Q2691756,Q504697
/wiki/Stephen_Lee_(actor),Sgt. Schneider,Q2344900,Q504697
/wiki/Jesse_D._Goins,Sergeant,Q1688147,Q504697
/wiki/James_Tolkan,FBI Agent George Wigan,Q783369,Q504697
