wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Dane_Cook,Sherman 'Tank' Turner,Q359969,Q266552
/wiki/Kate_Hudson,Alexis,Q169946,Q266552
/wiki/Jason_Biggs,Dustin,Q314421,Q266552
/wiki/Diora_Baird,Rachel,Q283504,Q266552
/wiki/Alec_Baldwin,Professor William Turner,Q170572,Q266552
/wiki/Lizzy_Caplan,Ami,Q236578,Q266552
/wiki/Taran_Killam,Josh,Q2706805,Q266552
/wiki/Malcolm_Barrett_(actor),Dwalu,Q3330735,Q266552
/wiki/Riki_Lindhome,Hilary,Q120406,Q266552
"/wiki/Mini_Anden"" class=""mw-redirect",Lizzy,,Q266552
/wiki/Jenny_Mollen,Colleen,Q450020,Q266552
/wiki/Nate_Torrence,Craig,Q3936377,Q266552
