wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Sandra_Bullock,Mary Magdalene Horowitz,Q40791,Q590813
/wiki/Bradley_Cooper,"Steven ""Steve"" Miller",Q205707,Q590813
/wiki/Thomas_Haden_Church,Hartman Hughes,Q311615,Q590813
/wiki/Ken_Jeong,Angus Tran,Q440910,Q590813
/wiki/DJ_Qualls,Howard,Q445638,Q590813
/wiki/Katy_Mixon,Elizabeth,Q465571,Q590813
/wiki/Beth_Grant,Mrs. Horowitz,Q271635,Q590813
/wiki/Howard_Hesseman,Mr. Horowitz,Q194881,Q590813
/wiki/M._C._Gainey,"Norman James ""Norm"" Durwood",Q722038,Q590813
/wiki/Luenell,Protester's wife,Q461637,Q590813
/wiki/Keith_David,Danny[,Q370918,Q590813
/wiki/Jason_Jones_(actor),Vazquez,Q1255263,Q590813
/wiki/Noah_Munck,Student,Q716421,Q590813
