wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Matthew_Modine,Dave Goldman,Q318249,Q1018481
/wiki/Randy_Quaid,Vic D'Amico,Q316647,Q1018481
/wiki/Paul_Reiser,Donny Carson,Q430922,Q1018481
/wiki/Janeane_Garofalo,Lucille,Q40143,Q1018481
/wiki/Rob_Reiner,Dr. David Townsend,Q287607,Q1018481
/wiki/Amy_Brenneman,Susan (formerly Goldman),Q232520,Q1018481
/wiki/Ross_Malinger,Ben Goldman,Q730084,Q1018481
"/wiki/Dana_Wheeler_Nicholson"" class=""mw-redirect",Heidi Schmidt,,Q1018481
/wiki/Mae_Whitman,Michelle Goldman,Q232307,Q1018481
/wiki/Lindsay_Crouse,Grace (formerly D'Amico),Q238912,Q1018481
/wiki/Amber_Benson,Meg D'Amico,Q456862,Q1018481
/wiki/Jayne_Brook,Claire Carson,Q449561,Q1018481
/wiki/Eliza_Dushku,Emma Carson,Q210200,Q1018481
/wiki/Johnny_Whitworth,Max Cooper,Q2062198,Q1018481
/wiki/Maria_Pitillo,Kim,Q440841,Q1018481
/wiki/Brad_Hall,Phil,Q1193027,Q1018481
/wiki/Ed_Flanders,Walter Sims,Q1282344,Q1018481
/wiki/Wendell_Pierce,Hector,Q727730,Q1018481
/wiki/Danny_Masterson,Mikey,Q374220,Q1018481
/wiki/Jack_Black,DJ at party,Q483907,Q1018481
/wiki/Michael_Spound,Mike,Q3308525,Q1018481
