wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Inger_Stevens,Emily Biddle,Q434453,Q650539
/wiki/Glenn_Ford,Maj. Tom Wolcott,Q212048,Q650539
/wiki/Paul_Petersen,Blue Lake,Q1746534,Q650539
/wiki/Timothy_Carey,Billy Cat,Q449465,Q650539
/wiki/Kenneth_Tobey,Sgt. Cleehan,Q925911,Q650539
/wiki/Richard_X._Slattery,Cpl. Paddy Darling,Q7330117,Q650539
/wiki/Harrison_Ford,Lt Shaffer,Q81328,Q650539
/wiki/Kay_E._Kuter,Owelson,Q3814075,Q650539
/wiki/Dick_Miller,Zollicoffer,Q1209753,Q650539
/wiki/Emile_Meyer,Col. Harries,Q3052276,Q650539
/wiki/Marshall_Reed,Stedner,Q3295030,Q650539
/wiki/George_Hamilton_(actor),Capt. Dorrit Bentley,Q359416,Q650539
/wiki/Max_Baer_Jr.,Sgt. Luther Liskell,Q3302014,Q650539
/wiki/Todd_Armstrong,Lt. 'Pru' Prudessing,Q730680,Q650539
/wiki/Harry_Dean_Stanton,Sgt. Dan Way,Q314290,Q650539
