wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Colin_Farrell,Officer III Jim Street,Q172035,Q678775
/wiki/Jeremy_Renner,Officer III Brian Gamble,Q23365,Q678775
/wiki/Brian_Van_Holt,Officer III Michael Boxer,Q461290,Q678775
/wiki/Samuel_L._Jackson,"Sergeant II Dan ""Hondo"" Harrelson",Q172678,Q678775
/wiki/Michelle_Rodriguez,Officer III Chris Sanchez,Q184219,Q678775
/wiki/LL_Cool_J,"Officer III Deacon ""Deke"" Kaye",Q52440,Q678775
/wiki/Olivier_Martinez,"Alex ""Le Loup Rouge"" Montel (his nickname means The Red Wolf)",Q504886,Q678775
/wiki/Josh_Charles,"Officer III Travis Joseph ""T.J."" McCabe",Q472282,Q678775
/wiki/Ken_Davitian,Martin Gascoigne,Q562827,Q678775
/wiki/Reg_E._Cathey,Lieutenant II Greg Velasquez,Q973783,Q678775
/wiki/Larry_Poindexter,Captain II Tom Fuller,Q1806102,Q678775
/wiki/Page_Kennedy,Travis,Q960554,Q678775
/wiki/Domenick_Lombardozzi,GQ,Q545073,Q678775
/wiki/Denis_Arndt,Sergeant Howard,Q3022516,Q678775
/wiki/Jeff_Wincott,Ed Taylor,Q1053181,Q678775
