wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Owen_Wilson,Navy Pilot Lieutenant Chris 'Longhorn' Burnett,Q161916,Q723659
/wiki/Gene_Hackman,Rear Admiral Leslie McMahon Reigart,Q150943,Q723659
/wiki/Gabriel_Macht,Navy Pilot Lieutenant Jeremy 'Smoke' Stackhouse,Q320651,Q723659
/wiki/Charles_Malik_Whitfield,Marine Captain Glen Rodway,Q1875893,Q723659
/wiki/David_Keith_(actor),Master Chief Tom O'Malley,Q537190,Q723659
/wiki/Aleksander_Krupa,Serb General Miroslav Lokar,Q125354,Q723659
/wiki/Joaquim_de_Almeida,Admiral Juan Miguel Piquet,Q188432,Q723659
/wiki/Vladimir_Mashkov,Serb Sniper Sasha Ivanic,Q1081714,Q723659
/wiki/Eyal_Podell,Petty Officer Kennedy,Q781381,Q723659
/wiki/Laurence_Mason,Captain Glen Brandon,Q1519936,Q723659
/wiki/Leon_Russom,Ed Burnett,Q599274,Q723659
/wiki/Geoff_Pierson,Admiral Donnelly,Q1372187,Q723659
"/wiki/Aernout_Van_Lynden"" class=""mw-redirect",Himself,,Q723659
