wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Jason_Segel,Peter Bretter,Q202304,Q201379
/wiki/Kristen_Bell,Sarah Marshall,Q178882,Q201379
/wiki/Mila_Kunis,Rachel Jansen,Q37628,Q201379
/wiki/Russell_Brand,Aldous Snow,Q296609,Q201379
/wiki/Bill_Hader,Brian Bretter,Q14537,Q201379
/wiki/Jonah_Hill,Matthew Van Der Wyk,Q313388,Q201379
/wiki/Liz_Cackowski,Liz Bretter,Q11832640,Q201379
/wiki/Da%27Vone_McDonald,Dwayne,Q19661589,Q201379
/wiki/Jack_McBrayer,Darald Braden,Q560896,Q201379
/wiki/Maria_Thayer,Wyoma Braden,Q433241,Q201379
/wiki/Paul_Rudd,Chuck / Kunu,Q276525,Q201379
/wiki/Jason_Bateman,Animal Instincts Detective,Q284636,Q201379
/wiki/William_Baldwin,Himself / Det. Hunter Rush,Q313546,Q201379
"/wiki/Teila_Tuli"" class=""mw-redirect",Kimo,,Q201379
/wiki/Branscombe_Richmond,Keoki,Q131866,Q201379
