wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Pavle_Vuisi%C4%87,The Bus Conductor,Q1276190,Q280962
/wiki/Dragan_Nikoli%C4%87,The Singer,Q1252125,Q280962
/wiki/Danilo_Stojkovi%C4%87,Brka,Q213193,Q280962
/wiki/Aleksandar_Ber%C4%8Dek,Miško Krstić,Q299974,Q280962
/wiki/Neda_Arneri%C4%87,The Bride,Q299989,Q280962
"/wiki/Mi%C4%87a_Tomi%C4%87"" class=""mw-redirect",Aleksa Simić,,Q280962
/wiki/Ta%C5%A1ko_Na%C4%8Di%C4%87,The Hunter,Q2444210,Q280962
/wiki/Boro_Stjepanovi%C4%87,The Bald Guy,Q3441949,Q280962
/wiki/Slavko_%C5%A0timac,The Groom,Q954363,Q280962
/wiki/Bora_Todorovi%C4%87,The Mourner,Q1250100,Q280962
/wiki/Slobodan_Aligrudi%C4%87,Lieutenant,Q1256830,Q280962
/wiki/Ljubomir_%C4%86iprani%C4%87,Corporal Rajković,Q1562512,Q280962
