wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Nigel_Terry,King Arthur,Q730583,Q206461
/wiki/Helen_Mirren,"Morgana Le Fay
",Q349391,Q206461
/wiki/Nicholas_Clay,Sir Lancelot,Q1074866,Q206461
/wiki/Cherie_Lunghi,Queen Guenevere,Q443174,Q206461
/wiki/Nicol_Williamson,Merlin[,Q725374,Q206461
/wiki/Corin_Redgrave,Duke of Cornwall,Q380884,Q206461
/wiki/Patrick_Stewart,King Leodegrance,Q16296,Q206461
/wiki/Keith_Buckley_(actor),Sir Uryens,Q6384134,Q206461
/wiki/Clive_Swift,Sir Ector,Q776860,Q206461
/wiki/Liam_Neeson,Sir Gawain,Q58444,Q206461
/wiki/Gabriel_Byrne,King Uther Pendragon,Q296616,Q206461
/wiki/Robert_Addie,"Prince Mordred (as an adult)
",Q496262,Q206461
/wiki/Charley_Boorman,young Mordred,Q724867,Q206461
/wiki/Katrine_Boorman,Igrayne,Q3194207,Q206461
/wiki/Ciar%C3%A1n_Hinds,King Lot,Q314892,Q206461
/wiki/Niall_O%27Brien_(actor),Sir Kay,Q7023939,Q206461
