wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Moritz_Bleibtreu,Hans-Jörg Tschirner,Q58603,Q394674
/wiki/Herbert_Knaup,Werner Tschirner,Q74143,Q394674
/wiki/Katja_Riemann,Signe,Q62346,Q394674
/wiki/Tom_Schilling,Ralf,Q26763,Q394674
/wiki/Suzan_Anbeh,Desiree,Q89103,Q394674
/wiki/Vadim_Glowna,Günther,Q66126,Q394674
/wiki/Margit_Carstensen,Roxy,Q67117,Q394674
/wiki/Lee_Daniels,Henry,Q555460,Q394674
/wiki/Marie_Zielcke,Nadine,Q101888,Q394674
/wiki/Martin_Semmelrogge,Manni Moneto,Q95580,Q394674
/wiki/Sven_Martinek,Jürgen,Q91513,Q394674
/wiki/Til_Schweiger,Freund in Bibliothek,Q57391,Q394674
