wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Jay_Chou,Takumi Fujiwara,Q238819,Q715374
/wiki/Anne_Suzuki,Natsuki Mogi,Q1342880,Q715374
/wiki/Edison_Chen,Ryousuke Takahashi,Q379830,Q715374
/wiki/Anthony_Wong_(Hong_Kong_actor),Bunta Fujiwara,Q381561,Q715374
/wiki/Shawn_Yue,Takeshi Nakazato,Q144033,Q715374
/wiki/Chapman_To,Itsuki Takeuchi,Q708456,Q715374
/wiki/Jordan_Chan,Kyouichi Sudou,Q709655,Q715374
/wiki/Kenny_Bee,Yuuichi Tachibana,Q837534,Q715374
/wiki/Tsuyoshi_Abe,Kenji,Q1150592,Q715374
/wiki/Chie_Tanaka,Miya,Q706578,Q715374
