wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Lori_Cardille,Dr. Sarah Bowman,Q2008955,Q219170
/wiki/Joseph_Pilato,Captain Henry Rhodes,Q1368224,Q219170
/wiki/Terry_Alexander_(actor),"John ""Flyboy""",Q7704046,Q219170
/wiki/Jarlath_Conroy,Bill McDermott,Q6160311,Q219170
/wiki/Richard_Liberty,"Dr. Matthew ""Frankenstein"" Logan",Q2150102,Q219170
/wiki/Sherman_Howard,"""Bub""",Q127836,Q219170
/wiki/Gary_Howard_Klar,Private Walter Steel,Q47546476,Q219170
/wiki/Ralph_Marrero,Private Robert Rickles,Q47489951,Q219170
/wiki/John_Amplas,Dr. Ted Fisher,Q6218915,Q219170
/wiki/Taso_N._Stavrakis,Private Juan Torrez,Q7687588,Q219170
/wiki/Greg_Nicotero,Private Johnson,Q2633389,Q219170
/wiki/George_A._Romero,Zombie with scarf (uncredited cameo),Q51511,Q219170
