wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Cary_Grant,Matt Howard,Q83410,Q938799
/wiki/Martha_Scott,Jane Peyton Howard,Q236394,Q938799
/wiki/Richard_Carlson_(actor),Thomas Jefferson,Q539982,Q938799
"/wiki/Sir_Cedric_Hardwicke"" class=""mw-redirect",Fleetwood Peyton,,Q938799
/wiki/Alan_Marshal_(actor),Roger Peyton,Q2830551,Q938799
/wiki/Rita_Quigley,Mary Howard at age 17,Q7336588,Q938799
/wiki/Irving_Bacon,Tom Norton,Q3116093,Q938799
/wiki/Libby_Taylor,Dicey,Q95745268,Q938799
/wiki/Richard_Gaines,Patrick Henry,Q3430780,Q938799
/wiki/Paul_Kelly_(actor),Captain Jabez Allen,Q929838,Q938799
/wiki/George_Houston_(actor),George Washington,Q5539114,Q938799
/wiki/Elisabeth_Risdon,Aunt Clarissa,Q2448741,Q938799
"/wiki/Dickie_Jones"" class=""mw-redirect",Matt Howard at 12,,Q938799
/wiki/Buster_Phelps,Thomas Jefferson at 11,Q2928790,Q938799
/wiki/Ralph_Byrd,James Howard,Q1606820,Q938799
