wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Nicolas_Cage,Edward Malus,Q42869,Q200827
/wiki/Ellen_Burstyn,Sister Summersisle,Q211144,Q200827
/wiki/Kate_Beahan,Sister Willow Woodward,Q447938,Q200827
/wiki/Leelee_Sobieski,Sister Honey,Q229228,Q200827
/wiki/Frances_Conroy,Dr. T.H. Moss,Q233882,Q200827
/wiki/Molly_Parker,Sister Rose / Sister Thorn,Q435312,Q200827
/wiki/Diane_Delano,Sister Beech,Q326217,Q200827
/wiki/Christine_Willes,Sister Violet,Q4981274,Q200827
/wiki/Aaron_Eckhart,Truck Stop Patron,Q192643,Q200827
/wiki/Matthew_Walker_(Canadian_actor),Sea Plane Pilot,Q6791377,Q200827
/wiki/James_Franco,Police Officer in a bar,Q306403,Q200827
/wiki/Jason_Ritter,Bar Guy #2,Q431362,Q200827
