wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/John_White_(actor),Erik Stifler,Q459082,Q466329
/wiki/Steve_Talley,Dwight Stifler,Q459380,Q466329
/wiki/Jake_Siegel,"Mike ""Cooze"" Coozeman",Q2012219,Q466329
/wiki/Meghan_Heffern,Ashley Thomas,Q438278,Q466329
/wiki/Tyrone_Savage,Edgar Willis,Q7861641,Q466329
/wiki/Sarah_Power,Denise,Q23978733,Q466329
/wiki/Eugene_Levy,Noah Levenstein,Q312129,Q466329
/wiki/Christopher_McDonald,Mr. Stifler,Q349857,Q466329
/wiki/Angela_Besharah,Irene,Q4762376,Q466329
/wiki/Jonathan_Keltz,Wesley,Q6273549,Q466329
/wiki/Dan_Petronijevic,Bull,Q3013164,Q466329
/wiki/Bradford_Anderson,Jake Parker,Q4954592,Q466329
/wiki/Robbie_Amell,Nick Anderson,Q926420,Q466329
/wiki/Italia_Ricci,Laura Johnson,Q1402293,Q466329
/wiki/Rachel_Skarsten,Sharon,Q4979079,Q466329
