wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Jean_Gabin,Richard Briand-Charmery,Q23842,Q768133
/wiki/Louis_de_Fun%C3%A8s,Gaspard Ripeux,Q2737,Q768133
/wiki/Jean_Lefebvre,"Charly le ""tubeur""",Q1351000,Q768133
/wiki/Paul_Frankeur,Arthur,Q277980,Q768133
"/wiki/Franck_Villard"" class=""mw-redirect",Lucien,,Q768133
/wiki/Madeleine_Robinson,Maud,Q443085,Q768133
/wiki/Jo%C3%ABlle_Bernard,Ginette,Q3187483,Q768133
/wiki/Jean_Martinelli,Hubert,Q3173436,Q768133
/wiki/Alexandre_Rignault,Charlot,Q2833998,Q768133
/wiki/Albert_Dinan,Léon,Q2831120,Q768133
/wiki/Jacques_Marin,Raoul,Q1663127,Q768133
/wiki/L%C3%A9once_Corne,Mr. Freedman,Q3271575,Q768133
/wiki/Albert_Michel,a player,Q2831397,Q768133
/wiki/Ren%C3%A9_Hell,a player,Q3426353,Q768133
/wiki/L%C3%A9on_Zitrone,commentator,Q1344622,Q768133
/wiki/Raymond_Oliver,in his own role on the television,Q363889,Q768133
/wiki/Paul_Faivre,the recorder of tickets P.M.U,Q3371185,Q768133
