wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Simon_Pegg,Gus,Q238464,Q859131
/wiki/David_Schwimmer,Charlie,Q188792,Q859131
/wiki/Alice_Eve,Josie,Q232786,Q859131
/wiki/Natascha_McElhone,Penelope,Q229237,Q859131
/wiki/Mimi_Rogers,Mrs. Smalls,Q233054,Q859131
/wiki/Jon_Polito,Agent Hymes,Q203205,Q859131
/wiki/Sarah_Edmondson,Isabella,Q3950325,Q859131
/wiki/Julian_Glover,80-year-old man,Q499644,Q859131
/wiki/Amber_Sealey,Call center supervisor,Q41776257,Q859131
/wiki/Shauna_Shim,Melanie #1,Q7491035,Q859131
/wiki/Colin_Stinton,Max,Q501750,Q859131
