wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Jeff_Goldblum,Dexter King,Q106706,Q736326
/wiki/Rowan_Atkinson,Ron Anderson,Q23760,Q736326
/wiki/Emma_Thompson,Kate Lemmon,Q168724,Q736326
/wiki/Geraldine_James,Carmen,Q440926,Q736326
/wiki/Anna_Massey,Mary,Q270049,Q736326
/wiki/Kim_Thomson,Cheryl,Q788898,Q736326
/wiki/Hugh_Thomas_(actor),Dr. Karabekian,Q5932860,Q736326
/wiki/Emil_Wolk,Cyprus Charlie,Q5371497,Q736326
/wiki/Tim_Barlow,Mr. Morrow,Q3991502,Q736326
/wiki/Harold_Innocent,Timothy,Q5661173,Q736326
/wiki/Joanna_Kanska,Tamara,Q6205866,Q736326
/wiki/Angus_Deayton,Actor in Agent's Office,Q2131672,Q736326
/wiki/Jason_Isaacs,2nd Doctor,Q214223,Q736326
