wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Mary_Elizabeth_Winstead,Wendy Christensen,Q207873,Q820811
/wiki/Ryan_Merriman,Kevin Fischer,Q504075,Q820811
/wiki/Kris_Lemche,Ian McKinley,Q951061,Q820811
/wiki/Alexz_Johnson,Erin Ulmer,Q239786,Q820811
/wiki/Sam_Easton,Frankie Cheeks,Q901231,Q820811
/wiki/Jesse_Moss_(actor),Jason Wise,Q867364,Q820811
/wiki/Gina_Holden,Carrie Dreyer,Q272965,Q820811
/wiki/Texas_Battle,Lewis Romero,Q1189393,Q820811
/wiki/Chelan_Simmons,Ashley Freund,Q270260,Q820811
/wiki/Crystal_Lowe,Ashlyn Halperin,Q264985,Q820811
/wiki/Amanda_Crew,Julie Christensen,Q202732,Q820811
/wiki/Ecstasia_Sanders,Amber Regan,Q5333937,Q820811
/wiki/Patrick_Gallagher_(actor),Colquitt,Q119966,Q820811
/wiki/Andrew_Francis,Payton,Q3183170,Q820811
/wiki/Cory_Monteith,Kahill,Q296484,Q820811
/wiki/Dustin_Milligan,Marcus,Q286745,Q820811
/wiki/Tony_Todd,The Devil (voice) / Subway Train Conductor (voice),Q351849,Q820811
/wiki/Agam_Darshi,Laura,Q514903,Q820811
