wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Brad_Davis_(actor),Querelle,Q374175,Q695982
/wiki/Franco_Nero,Lieutenant Seblon,Q311716,Q695982
/wiki/Jeanne_Moreau,Lysiane,Q106099,Q695982
/wiki/Laurent_Malet,Roger Bataille,Q535794,Q695982
/wiki/Hanno_P%C3%B6schl,Robert / Gil,Q86205,Q695982
/wiki/G%C3%BCnther_Kaufmann,Nono,Q45338,Q695982
/wiki/Burkhard_Driest,Mario,Q105664,Q695982
/wiki/Roger_Fritz,Marcellin,Q97407,Q695982
/wiki/Dieter_Schidor,Vic Rivette,Q97838,Q695982
/wiki/Natja_Brunckhorst,Paulette,Q62581,Q695982
/wiki/Werner_Asam,Worker,Q105610,Q695982
/wiki/Axel_Bauer,Worker,Q2597731,Q695982
/wiki/Robert_van_Ackeren,Drunken legionnaire,Q88104,Q695982
/wiki/Wolf_Gremm,Drunken legionnaire,Q98062,Q695982
/wiki/Frank_Ripploh,Drunken legionnaire,Q73799,Q695982
