wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Tommy_Lee_Jones,Colonel Hayes Lawrence 'Hodge' Hodges II,Q170587,Q698033
/wiki/Samuel_L._Jackson,Colonel Terry L. Childers,Q172678,Q698033
/wiki/Guy_Pearce,Major Mark Biggs,Q223745,Q698033
/wiki/Ben_Kingsley,Ambassador Mourain,Q173158,Q698033
/wiki/Anne_Archer,Mrs. Mourain,Q230199,Q698033
/wiki/Bruce_Greenwood,US National Security Advisor Bill Sokal,Q342788,Q698033
/wiki/Blair_Underwood,Captain Lee,Q525304,Q698033
/wiki/Philip_Baker_Hall,General Hayes Lawrence Hodges,Q447669,Q698033
/wiki/Nicky_Katt,Hayes Lawrence Hodges III,Q729618,Q698033
/wiki/Dale_Dye,Major General Perry,Q51814,Q698033
/wiki/Mark_Feuerstein,Captain Tom Chandler,Q1312914,Q698033
/wiki/Amidou,Doctor Ahmar,Q3126442,Q698033
/wiki/Richard_McGonagle,Court Judge,Q3543932,Q698033
/wiki/Gordon_Clapp,Harris,Q1278420,Q698033
/wiki/Ryan_Hurst,Captain Hustings,Q621099,Q698033
