wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Laurence_Fishburne,"Manuel ""Smoke"" Galloway",Q193048,Q860053
/wiki/Derek_Luke,"Jalil ""Kid"" Galloway",Q648897,Q860053
/wiki/Orlando_Jones,"""Soul Train""",Q542069,Q860053
/wiki/Djimon_Hounsou,"""Motherland""",Q298682,Q860053
/wiki/Lisa_Bonet,"""Queenie""",Q232414,Q860053
/wiki/Brendan_Fehr,"""Stuntman""",Q707823,Q860053
/wiki/Larenz_Tate,"""Wood""",Q1805906,Q860053
/wiki/Terrence_Howard,"""Chu-Chu""",Q296500,Q860053
/wiki/Kid_Rock,"""Dogg""",Q158175,Q860053
/wiki/Rick_Gonzalez,"""Primo""",Q1370072,Q860053
/wiki/Meagan_Good,Tina,Q257286,Q860053
/wiki/Salli_Richardson,"""Half &amp",Q237273,Q860053
/wiki/Vanessa_Bell_Calloway,Anita Galloway,Q534352,Q860053
/wiki/Dante_Basco,"""Philly""",Q738253,Q860053
/wiki/Kadeem_Hardison,T.J,Q367469,Q860053
/wiki/Dion_Basco,"""Flip""",Q5279265,Q860053
/wiki/Tyson_Beckford,Donny,Q738212,Q860053
/wiki/Eriq_La_Salle,"Will ""Slick Will"" Galloway",Q532944,Q860053
