wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Billy_Crudup,Steve Prefontaine,Q313650,Q570417
/wiki/Donald_Sutherland,Bill Bowerman,Q103784,Q570417
/wiki/Monica_Potter,Mary Marckx,Q234344,Q570417
/wiki/Jeremy_Sisto,Frank Shorter,Q449863,Q570417
/wiki/Judith_Ivey,Barbara Bowerman,Q533613,Q570417
/wiki/Dean_Norris,Bill Dellinger,Q432385,Q570417
/wiki/Billy_Burke_(actor),Kenny Moore,Q325020,Q570417
/wiki/Frank_Shorter,Fred Long,Q508407,Q570417
/wiki/Matthew_Lillard,Roscoe Devine,Q29086,Q570417
/wiki/William_Mapother,Bob Peters,Q318231,Q570417
/wiki/Amy_Jo_Johnson,Iowa's Finest,Q242577,Q570417
/wiki/Lisa_Banes,Elfriede Prefontaine,Q6557799,Q570417
/wiki/William_Friedkin,TV Director,Q51582,Q570417
/wiki/Erich_Anderson,Collin Pounder,Q2610657,Q570417
