wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Rob_Schneider,Marvin Mange,Q192217,Q547517
/wiki/Colleen_Haskell,"Rianna ""Hummingbird"" Holmes",Q3193969,Q547517
/wiki/John_C._McGinley,Sgt. Doug Sisk,Q316032,Q547517
/wiki/Guy_Torry,Miles,Q2244897,Q547517
/wiki/Ed_Asner,Chief Marion Wilson,Q154421,Q547517
/wiki/Michael_Caton,Dr. Wilder,Q3308100,Q547517
/wiki/Louis_Lombardi,Fatty,Q982866,Q547517
/wiki/Scott_Wilson_(actor),the unnamed Mayor of Elkerton,Q718135,Q547517
/wiki/Michael_Papajohn,Patrolman Brady,Q948751,Q547517
/wiki/Norm_Macdonald,a Mob Member who asks angry mob-related questions to Sisk.,Q1371229,Q547517
/wiki/Adam_Sandler,a Townie who is part of the angry mob. Sandler did his rendition of the Townie that Schneider portrayed in The Waterboy and Little Nicky.,Q132952,Q547517
/wiki/Brianna_Brown,Other Mob Members,Q2925059,Q547517
/wiki/Cloris_Leachman,Cat Lady (uncredited),Q230131,Q547517
/wiki/Harry_Dean_Stanton,Hunter (uncredited),Q314290,Q547517
