wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Jim_Carrey,Lloyd Christmas,Q40504,Q462418
/wiki/Jeff_Daniels,Harry Dunne,Q53680,Q462418
/wiki/Lauren_Holly,Mary Swanson,Q229560,Q462418
/wiki/Karen_Duffy,J.P. Shay,Q6369611,Q462418
/wiki/Mike_Starr_(actor),"Joe ""Mental"" Mentalino",Q1373450,Q462418
/wiki/Charles_Rocket,Nicholas Andre,Q325082,Q462418
/wiki/Teri_Garr,Helen Swanson,Q233873,Q462418
/wiki/Victoria_Rowell,"Beth Jordan (credited as ""Athletic Beauty"")",Q469745,Q462418
/wiki/Cam_Neely,Sea Bass,Q1027913,Q462418
/wiki/Harland_Williams,the motorcycle police officer,Q1275214,Q462418
/wiki/Lin_Shaye,"Mrs. Margie Neugeboren (referred to by Harry as ""Mrs. Noogieburger"")",Q449822,Q462418
/wiki/Hank_Brandt,Karl Swanson,Q28700139,Q462418
/wiki/Felton_Perry,Detective Dale,Q1381432,Q462418
/wiki/Brady_Bluhm,Billy,Q4955163,Q462418
/wiki/Connie_Sawyer,elderly lady,Q761697,Q462418
