wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Cillian_Murphy,Robert Capa,Q202589,Q478212
/wiki/Chris_Evans_(actor),James Mace,Q178348,Q478212
/wiki/Rose_Byrne,Cassie,Q228717,Q478212
/wiki/Michelle_Yeoh,Corazon,Q214289,Q478212
/wiki/Cliff_Curtis,Searle,Q359325,Q478212
/wiki/Troy_Garity,Harvey,Q918866,Q478212
/wiki/Hiroyuki_Sanada,Kaneda,Q705522,Q478212
/wiki/Benedict_Wong,Trey,Q3329808,Q478212
/wiki/Chipo_Chung,"the voice of ""Icarus""",Q5101628,Q478212
/wiki/Mark_Strong,Pinbacker,Q312712,Q478212
/wiki/Paloma_Baeza,Capa's sister.,Q434033,Q478212
