wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Joan_Crawford,Joslyn Poe,Q40475,Q916936
/wiki/Owen_Moore,Lee Rogers,Q966972,Q916936
/wiki/Marc_McDermott,Henry Brierhalter,Q3288255,Q916936
/wiki/Gertrude_Astor,Kitty Lane,Q2004176,Q916936
/wiki/Rockliffe_Fellowes,Stephen Bates,Q7355487,Q916936
/wiki/Douglas_Gilmore,James Kelvin,Q82843410,Q916936
/wiki/William_Orlamond,'Doc' Ganz,Q8016366,Q916936
/wiki/Claire_McDowell,Aunt Mary,Q459580,Q916936
/wiki/Bert_Roach,Charlie Cook,Q2899205,Q916936
/wiki/Lou_Costello,Extra (uncredited),Q23884,Q916936
