wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Zac_Efron,Charlie St. Cloud,Q45229,Q581201
/wiki/Charlie_Tahan,Sam St. Cloud,Q1190055,Q581201
/wiki/Amanda_Crew,Tess Carroll,Q202732,Q581201
/wiki/Kim_Basinger,Claire St. Cloud,Q131380,Q581201
/wiki/Ray_Liotta,Florio Ferrente,Q211280,Q581201
/wiki/Augustus_Prew,Alistair Woolley,Q2659353,Q581201
/wiki/Donal_Logue,Tink Weatherbee,Q517137,Q581201
/wiki/Tegan_Moss,Cindy,Q1775236,Q581201
/wiki/Dave_Franco,Timothy Patrick Sullivan,Q383930,Q581201
/wiki/Chris_Massoglia,Old Sam (deleted scenes),Q2536019,Q581201
/wiki/Brenna_O%27Brien,Cashier in toy store,Q4901724,Q581201
