wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Cuba_Gooding_Jr.,Jerry Robinson,Q136209,Q600299
/wiki/Horatio_Sanz,Nick Ragoni,Q921470,Q600299
/wiki/Roselyn_S%C3%A1nchez,Gabriella,Q73352,Q600299
/wiki/Vivica_A._Fox,Felicia,Q220396,Q600299
/wiki/Maurice_Godin_(actor),Hector,Q3300864,Q600299
/wiki/Roger_Moore,Lloyd Faversham,Q134333,Q600299
/wiki/Lin_Shaye,Coach Sonya,Q449822,Q600299
/wiki/Victoria_Silvstedt,Inga,Q127423,Q600299
/wiki/Ken_Hudson_Campbell,Tom,Q737990,Q600299
/wiki/Zen_Gesner,Ron,Q189438,Q600299
"/wiki/Thomas_Lennon_(actor)"" class=""mw-redirect",Pastor,,Q600299
/wiki/Richard_Roundtree,Felicia's Dad,Q446493,Q600299
/wiki/Bob_Gunton,Boat Captain,Q352203,Q600299
/wiki/Jennifer_Gareis,Sheri,Q265010,Q600299
/wiki/Will_Ferrell,Michael,Q218503,Q600299
/wiki/Artie_Lange,Brian,Q712452,Q600299
