wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Clint_Eastwood,Luther Whitney,Q43203,Q332497
/wiki/Gene_Hackman,President Alan Richmond,Q150943,Q332497
/wiki/Ed_Harris,Detective Seth Frank,Q104791,Q332497
/wiki/Laura_Linney,Assistant Commonwealth Attorney Kate Whitney,Q223281,Q332497
/wiki/Scott_Glenn,Secret Service Agent Bill Burton,Q114179,Q332497
/wiki/Dennis_Haysbert,Secret Service Agent Tim Collin,Q350208,Q332497
/wiki/Judy_Davis,Presidential Chief of Staff Gloria Russell,Q307882,Q332497
/wiki/E._G._Marshall,Walter Sullivan,Q706165,Q332497
/wiki/Melora_Hardin,Christy Sullivan,Q269901,Q332497
/wiki/Kenneth_Welsh,Sandy Lord,Q918404,Q332497
/wiki/Penny_Johnson_Jerald,Laura Simon,Q239328,Q332497
/wiki/Richard_Jenkins,Michael McCarty,Q313043,Q332497
/wiki/Mark_Margolis,Red Brandsford,Q934506,Q332497
