wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Michal_Do%C4%8Dolomansk%C3%BD,Nick Carter,Q709406,Q354525
/wiki/Rudolf_Hru%C5%A1%C3%ADnsk%C3%BD,Commissar Josef Ledvina,Q444097,Q354525
/wiki/Milo%C5%A1_Kopeck%C3%BD,Baron Ruppert von Kratzmar,Q53111,Q354525
/wiki/Ladislav_Pe%C5%A1ek,Biology professor Albín Boček,Q7940687,Q354525
/wiki/Na%C4%8Fa_Konvalinkov%C3%A1,Květuška,Q159693,Q354525
/wiki/V%C3%A1clav_Lohnisk%C3%BD,Kratzmar's butler,Q7944129,Q354525
/wiki/Kv%C4%9Bta_Fialov%C3%A1,Countess Thun,Q2356044,Q354525
/wiki/Olga_Schoberov%C3%A1,Karin,Q462654,Q354525
/wiki/Martin_R%C5%AF%C5%BEek,Police director Franz von Kaunitz,Q12035835,Q354525
/wiki/Karel_Effa,Criminal,Q6369286,Q354525
/wiki/Libu%C5%A1e_%C5%A0vormov%C3%A1,Karin (voice),Q6542804,Q354525
/wiki/Gene_Deitch,Larry Matejka (voice),Q1501393,Q354525
