wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Silvana_Mangano,Masha,Q106919,Q1057323
/wiki/Van_Heflin,Emelyan Pugachov,Q350678,Q1057323
/wiki/Viveca_Lindfors,Caterine II,Q267217,Q1057323
/wiki/Geoffrey_Horne,Piotr Grinov,Q3101081,Q1057323
/wiki/Vittorio_Gassman,Prosecutor,Q55452,Q1057323
/wiki/Agnes_Moorehead,Vassilissa Mironova,Q231221,Q1057323
/wiki/Robert_Keith_(actor),Capt. Miranov,Q1385393,Q1057323
"/wiki/Oskar_Homolka"" class=""mw-redirect",Savelic,,Q1057323
/wiki/Finlay_Currie,Count Grinov,Q1391088,Q1057323
/wiki/Laurence_Naismith,Maj. Zurin,Q1231608,Q1057323
/wiki/Helmut_Dantine,Svabrin,Q743056,Q1057323
/wiki/Fulvia_Franco,Palaska,Q1396089,Q1057323
/wiki/Aldo_Silvani,Pope Gerasim,Q2832333,Q1057323
/wiki/Claudio_Gora,Minister of Caterine II,Q433903,Q1057323
/wiki/Guido_Celano,the farmer,Q460063,Q1057323
/wiki/Cristina_Gaioni,the young girl,Q3697532,Q1057323
