wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Henry_Fonda,John Wheeler,Q19155,Q1057528
/wiki/Gene_Tierney,"Susan Miller / ""Linda Worthington""",Q230555,Q1057528
/wiki/Laird_Cregar,Warren,Q918677,Q1057528
/wiki/Spring_Byington,Mrs. Maybelle Worthington,Q267803,Q1057528
/wiki/Shepperd_Strudwick,Tod Fenwick (as John Shepperd),Q2278200,Q1057528
/wiki/Frank_Orth,Kellogg,Q1443899,Q1057528
/wiki/Henry_Stephenson,Colonel Prentiss,Q1607291,Q1057528
/wiki/Marjorie_Gateson,Mrs. Fenwick,Q510115,Q1057528
/wiki/George_Lessey,Fenwick Sr.,Q600209,Q1057528
/wiki/Iris_Adrian,Peggy,Q3154408,Q1057528
/wiki/Harry_Hayden,Conductor,Q3127832,Q1057528
/wiki/Clara_Blandick,Mrs. Beasley,Q325695,Q1057528
"/wiki/Charles_C._Wilson_(actor)"" class=""mw-redirect",Captain Hurley,,Q1057528
/wiki/Gwendolyn_Logan,Miss Calahan,Q21070334,Q1057528
