wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Liza_Minnelli,Claire,Q14441,Q319222
/wiki/Burt_Reynolds,Walker,Q202148,Q319222
/wiki/Gene_Hackman,Kibby,Q150943,Q319222
/wiki/Robby_Benson,Billy,Q777128,Q319222
/wiki/John_Hillerman,McTeague,Q726283,Q319222
/wiki/Geoffrey_Lewis_(actor),Coast Guard Captain Moseley,Q562257,Q319222
/wiki/Michael_Hordern,Capt. Rockwell,Q956867,Q319222
/wiki/Anthony_Holland_(actor),Mr. Tully,Q16012089,Q319222
/wiki/John_McLiam,Rass Huggins,Q3182067,Q319222
/wiki/Val_Avery,Dolph,Q470062,Q319222
/wiki/Louis_Guss,Bernie,Q603600,Q319222
/wiki/William_Bassett_(actor),Charley,Q16096817,Q319222
