wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Jean-Pierre_L%C3%A9aud,Antoine Doinel,Q295834,http://www.wikidata.org/entity/Q324933
/wiki/Claude_Jade,Christine Darbon,Q183471,http://www.wikidata.org/entity/Q324933
/wiki/Daniel_Ceccaldi,Christine's father,Q663802,http://www.wikidata.org/entity/Q324933
/wiki/Claire_Duhamel,Christine's mother,Q1094796,http://www.wikidata.org/entity/Q324933
/wiki/Delphine_Seyrig,Fabienne Tabard,Q261456,http://www.wikidata.org/entity/Q324933
/wiki/Michael_Lonsdale,Georges Tabard,Q346540,http://www.wikidata.org/entity/Q324933
/wiki/Harry-Max,Monsieur Henri,Q3127761,http://www.wikidata.org/entity/Q324933
/wiki/Andr%C3%A9_Falcon,Monsieur Blady,Q346576,http://www.wikidata.org/entity/Q324933
/wiki/Jacques_Rispal,Monsieur Colin,Q3159881,http://www.wikidata.org/entity/Q324933
/wiki/Serge_Rousseau,The unknown man,Q2272497,http://www.wikidata.org/entity/Q324933
/wiki/Martine_Brochard,Mme. Colin,Q274216,http://www.wikidata.org/entity/Q324933
/wiki/Marie-France_Pisier,Colette Tazzi,Q239893,http://www.wikidata.org/entity/Q324933
/wiki/Jean-Fran%C3%A7ois_Adam,Albert Tazzi,Q3165423,http://www.wikidata.org/entity/Q324933
