wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Henry_Fonda,Lt. Col. Daniel Kiley,Q19155,Q700682
/wiki/Robert_Shaw_(actor),Col. Martin Hessler,Q313727,Q700682
/wiki/Robert_Ryan,Gen. Grey,Q350680,Q700682
/wiki/Dana_Andrews,Col. Pritchard,Q365633,Q700682
/wiki/George_Montgomery_(actor),Sgt. Duquesne,Q953336,Q700682
/wiki/Ty_Hardin,Lt. Schumacher,Q326878,Q700682
/wiki/Pier_Angeli,Louise,Q106988,Q700682
/wiki/Barbara_Werle,Elena,Q2855217,Q700682
/wiki/Charles_Bronson,Maj. Wolenski,Q36105,Q700682
/wiki/Hans_Christian_Blech,Conrad,Q67723,Q700682
/wiki/Werner_Peters,Gen. Kohler,Q69881,Q700682
/wiki/James_MacArthur,Lt. Weaver,Q930812,Q700682
/wiki/Karl-Otto_Alberty,Maj. Von Diepel,Q70276,Q700682
/wiki/Telly_Savalas,Sgt. Guffy,Q209471,Q700682
/wiki/Steve_Rowland_(record_producer),Eddy,Q7613813,Q700682
/wiki/Robert_Woods_(actor),Joe,Q1265326,Q700682
