wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Irene_Dunne,Theodora Lynn / Caroline Adams  ,Q230099,Q827494
/wiki/Melvyn_Douglas,Michael Grant,Q312084,Q827494
/wiki/Thomas_Mitchell_(actor),Jed Waterbury,Q317026,Q827494
/wiki/Thurston_Hall,Arthur Stevenson,Q3526153,Q827494
/wiki/Rosalind_Keith,Adelaide Perry,Q20679442,Q827494
/wiki/Elisabeth_Risdon,Mary Lynn,Q2448741,Q827494
/wiki/Margaret_McWade,Elsie Lynn,Q18716205,Q827494
/wiki/Spring_Byington,Rebecca Perry,Q267803,Q827494
/wiki/Nana_Bryant,Ethel Stevenson,Q3335514,Q827494
/wiki/Henry_Kolker,Henry Grant,Q1158727,Q827494
/wiki/Leona_Maricle,Agnes Grant,Q20657267,Q827494
/wiki/Robert_Greig,John Lynn,Q3435272,Q827494
