wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Charlie_Spradling,Wanda,Q23767019,http://www.wikidata.org/entity/Q127427
/wiki/Nita_Talbot,Camille Kenney,Q1993906,http://www.wikidata.org/entity/Q127427
/wiki/George_Buck_Flower,Mathew,Q324868,http://www.wikidata.org/entity/Q127427
/wiki/Susan_Hayward,Louise Merritt,Q248837,http://www.wikidata.org/entity/Q129083
/wiki/Robert_Mitchum,Jeff McCloud,Q16472,http://www.wikidata.org/entity/Q129083
/wiki/Arthur_Hunnicutt,Booker Davis,Q709942,http://www.wikidata.org/entity/Q129083
/wiki/Frank_Faylen,Al Dawson,Q459786,http://www.wikidata.org/entity/Q129083
/wiki/Walter_Coy,Buster Burgess,Q7964610,http://www.wikidata.org/entity/Q129083
/wiki/Carol_Nugent,Rusty Davis,Q5044491,http://www.wikidata.org/entity/Q129083
/wiki/Maria_Hart,Rosemary Maddox,Q11835403,http://www.wikidata.org/entity/Q129083
/wiki/Lorna_Thayer,Grace Burgess,Q11837369,http://www.wikidata.org/entity/Q129083
/wiki/Burt_Mustin,Jeremiah,Q3512602,http://www.wikidata.org/entity/Q129083
/wiki/Jimmie_Dodd,Red Logan,Q6199337,http://www.wikidata.org/entity/Q129083
/wiki/Riley_Hill_(actor),Hoag,Q60747499,http://www.wikidata.org/entity/Q129083
/wiki/J%C3%BCrgen_Vogel,Jan Nebel,Q62052,http://www.wikidata.org/entity/Q320318
/wiki/Christiane_Paul,Vera,Q69108,http://www.wikidata.org/entity/Q320318
/wiki/Ricky_Tomlinson,Buddy,Q2736441,http://www.wikidata.org/entity/Q320318
/wiki/Meret_Becker,Moni,Q65511,http://www.wikidata.org/entity/Q320318
/wiki/Martina_Gedeck,Lilo,Q65111,http://www.wikidata.org/entity/Q320318
/wiki/Armin_Rohde,Harri,Q76178,http://www.wikidata.org/entity/Q320318
/wiki/Andrea_Sawatzki,Sylvia,Q66434,http://www.wikidata.org/entity/Q320318
/wiki/Shin_Eun-kyung,Cha Eun-jin,Q433072,http://www.wikidata.org/entity/Q80538
/wiki/Park_Sang-myun,Kang Su-il,Q6783790,http://www.wikidata.org/entity/Q80538
/wiki/Lee_Eung-kyung,Yu-jin,Q14483063,http://www.wikidata.org/entity/Q80538
/wiki/Kim_In-kwon,Banse,Q6408832,http://www.wikidata.org/entity/Q80538
/wiki/Ahn_Jae-mo,Bada,Q6821789,http://www.wikidata.org/entity/Q80538
/wiki/Kim_In-mun,Oden Food,Q705384,http://www.wikidata.org/entity/Q80538
/wiki/Yeon_Jung-hoon,Hyo-min,Q491392,http://www.wikidata.org/entity/Q80538
/wiki/Rick_Malambri,Luke Katcher,Q558412,http://www.wikidata.org/entity/Q81037
/wiki/Adam_G._Sevani,"Robert ""Moose"" Alexander III",Q349471,http://www.wikidata.org/entity/Q81037
/wiki/Sharni_Vinson,Natalie,Q271065,http://www.wikidata.org/entity/Q81037
/wiki/Alyson_Stoner,Camille,Q229263,http://www.wikidata.org/entity/Q81037
/wiki/Stephen_%22tWitch%22_Boss,Jason Hardlerson,Q21284625,http://www.wikidata.org/entity/Q81037
/wiki/Lombard_Twins,Martin Santiago,Q85781938,http://www.wikidata.org/entity/Q81037
/wiki/Lombard_Twins,Marcos Santiago,Q85781938,http://www.wikidata.org/entity/Q81037
/wiki/Cloud_(dancer),Kid Darkness,Q5135628,http://www.wikidata.org/entity/Q81037
/wiki/Carolina_Ravassa,Kristen,Q28976364,http://www.wikidata.org/entity/Q81037
/wiki/Harry_Shum_Jr.,Cable,Q348649,http://www.wikidata.org/entity/Q81037
/wiki/Kate_Nelligan,Eleni Gatzoyiannis,Q266467,http://www.wikidata.org/entity/Q131840
/wiki/John_Malkovich,Nicholas Gage,Q172261,http://www.wikidata.org/entity/Q131840
/wiki/Linda_Hunt,Katina,Q232874,http://www.wikidata.org/entity/Q131840
/wiki/Oliver_Cotton,Katis,Q7087463,http://www.wikidata.org/entity/Q131840
/wiki/Ronald_Pickup,Spiro Skevis,Q4356744,http://www.wikidata.org/entity/Q131840
/wiki/Rosalie_Crutchley,Grandmother,Q3442206,http://www.wikidata.org/entity/Q131840
/wiki/Glenne_Headly,Joan Gage,Q449602,http://www.wikidata.org/entity/Q131840
/wiki/Dimitra_Arliss,Ana,Q515459,http://www.wikidata.org/entity/Q131840
/wiki/Daniel_Day-Lewis,"Nathaniel ""Hawkeye"" Poe",Q166389,http://www.wikidata.org/entity/Q144483
/wiki/Madeleine_Stowe,Cora Munro,Q209098,http://www.wikidata.org/entity/Q144483
/wiki/Russell_Means,Chingachgook,Q319799,http://www.wikidata.org/entity/Q144483
/wiki/Eric_Schweig,Uncas,Q904209,http://www.wikidata.org/entity/Q144483
/wiki/Jodhi_May,Alice Munro,Q256402,http://www.wikidata.org/entity/Q144483
/wiki/Steven_Waddington,Major Duncan Heyward,Q466388,http://www.wikidata.org/entity/Q144483
/wiki/Wes_Studi,Magua,Q350819,http://www.wikidata.org/entity/Q144483
/wiki/Maurice_Ro%C3%ABves,Colonel Edmund Munro,Q1616520,http://www.wikidata.org/entity/Q144483
/wiki/Patrice_Ch%C3%A9reau,General Louis-Joseph de Montcalm,Q366057,http://www.wikidata.org/entity/Q144483
/wiki/Edward_Blatchford,Jack Winthrop,Q5341915,http://www.wikidata.org/entity/Q144483
/wiki/Terry_Kinney,John Cameron,Q1190150,http://www.wikidata.org/entity/Q144483
/wiki/Tracey_Ellis,Alexandra Cameron,Q7831220,http://www.wikidata.org/entity/Q144483
/wiki/Dennis_Banks,Ongewasgone,Q250161,http://www.wikidata.org/entity/Q144483
/wiki/Pete_Postlethwaite,Captain Beams,Q217137,http://www.wikidata.org/entity/Q144483
/wiki/Colm_Meaney,Major Ambrose,Q313671,http://www.wikidata.org/entity/Q144483
/wiki/Malcolm_Storry,Phelps,Q16122790,http://www.wikidata.org/entity/Q144483
/wiki/David_Schofield_(actor),Sergeant Major,Q1176556,http://www.wikidata.org/entity/Q144483
/wiki/Tim_Hopper,Ian,Q4119466,http://www.wikidata.org/entity/Q144483
/wiki/Jared_Harris,British Lieutenant,Q362500,http://www.wikidata.org/entity/Q144483
/wiki/Sebastian_Roch%C3%A9,Martin,Q605857,http://www.wikidata.org/entity/Q144483
/wiki/Spencer_Tracy,Bill,Q71275,http://www.wikidata.org/entity/Q114415
/wiki/Loretta_Young,Trina,Q253384,http://www.wikidata.org/entity/Q114415
/wiki/Marjorie_Rambeau,Flossie,Q455912,http://www.wikidata.org/entity/Q114415
/wiki/Glenda_Farrell,Fay La Rue,Q272083,http://www.wikidata.org/entity/Q114415
/wiki/Walter_Connolly,Ira,Q726919,http://www.wikidata.org/entity/Q114415
/wiki/Arthur_Hohl,Bragg,Q2865150,http://www.wikidata.org/entity/Q114415
/wiki/Dickie_Moore_(actor),Joie,Q1210022,http://www.wikidata.org/entity/Q114415
/wiki/Richard_Gere,John Clark,Q48410,http://www.wikidata.org/entity/Q72450
/wiki/Jennifer_Lopez,Paulina,Q40715,http://www.wikidata.org/entity/Q72450
/wiki/Susan_Sarandon,Beverly Clark,Q133050,http://www.wikidata.org/entity/Q72450
/wiki/Lisa_Ann_Walter,Bobbie,Q434802,http://www.wikidata.org/entity/Q72450
/wiki/Stanley_Tucci,Link Peterson,Q223117,http://www.wikidata.org/entity/Q72450
/wiki/Anita_Gillette,Miss Mitzi,Q456156,http://www.wikidata.org/entity/Q72450
/wiki/Bobby_Cannavale,Chic,Q428819,http://www.wikidata.org/entity/Q72450
/wiki/Omar_Benson_Miller,Vern,Q288680,http://www.wikidata.org/entity/Q72450
